investment_recommendation,reason_summary,data_confidence,red_flag_count,red_flag_reasons,fund_name,manager_name,vintage_year,vintage_age,sub_strategy,geography,irr_max,tvpi_max,dpi_max,irr_quality,tvpi_quality,dpi_quality,has_institutional_match,institutional_fund_name,institutional_trend_score,match_score,fund_id,strategy,lp_count,irr_min,tvpi_min,dpi_min,gross_asset_value_usd,final_close_size_usd,latest_as_of_date,lp_fund_id,lp_fund_name,lp_manager_name,lp_vintage_year,lp_sub_strategy,lp_geography,lp_irr_max,lp_tvpi_max,lp_dpi_max,canonical_fund_id,institutional_vintage_year,institutional_quarter_count,institutional_latest_quarter,institutional_latest_tvpi,institutional_latest_irr,institutional_tvpi_change_total
Watchlist,Missing IRR | Acceptable TVPI | Strong realized DPI | Institutional match found,High,0,,"GS Private Equity Partners IX, L.P.",Goldman Sachs,2011.0,15.0,buyout,global,,1.59996,1.56698,Missing IRR,Acceptable TVPI,Strong realized DPI,True,HSBC Private Equity Fund II,30.0,0.773,gs-private-equity-partners-ix-l-p,private_equity,1,,1.59996,1.56698,,,2025-09-30,gs-private-equity-partners-ix-l-p,"GS Private Equity Partners IX, L.P.",Goldman Sachs,2011.0,buyout,global,,1.59996,1.56698,fund_000072,1997.0,19.0,2025-Q3,1.33,8.2,-0.1999999999999999
Watchlist,Missing IRR | Good TVPI | Strong realized DPI | No institutional match,Medium,0,,"GS Private Equity Partners XI Offshore, L.P.",Goldman Sachs,2017.0,9.0,buyout,global,,2.22966,1.76868,Missing IRR,Good TVPI,Strong realized DPI,False,,,,gs-private-equity-partners-xi-offshore-l-p,private_equity,1,,2.22966,1.76868,,,2025-09-30,,,,,,,,,,,,,,,,
Watchlist,Acceptable IRR | Acceptable TVPI | Acceptable realized DPI | No institutional match,Medium,0,,"GTCR Capital Partners, L.P.",GTCR,1999.0,27.0,growth_equity,north_america,0.1081,1.4,1.4422,Acceptable IRR,Acceptable TVPI,Acceptable realized DPI,False,,,,gtcr-capital-partners-l-p,private_equity,3,0.1081,1.4,1.4422,1463452.0,,2024-09-30,,,,,,,,,,,,,,,,
Good Candidate,Acceptable IRR | Good TVPI | Strong realized DPI | Institutional match found,High,0,,GTCR Fund IX-A,GTCR,2006.0,20.0,buyout,north_america,0.137743,1.8063,1.8063,Acceptable IRR,Good TVPI,Strong realized DPI,True,GTCR Fund XII-AB,7.10000000000001,0.778,gtcr-fund-ix-a,private_equity,2,0.137743,1.8063,1.8063,119085738.0,,2024-12-31,gtcr-fund-ix-a,GTCR Fund IX-A,GTCR,2006.0,buyout,north_america,0.137743,1.8063,1.8063,fund_000197,2017.0,8.0,2025-Q3,1.85,19.1,0.2100000000000002
Watchlist,Acceptable IRR | Good TVPI | Strong realized DPI | No institutional match,Medium,0,,"GTCR Fund IX, L.P.",GTCR,2006.0,20.0,buyout,north_america,0.1377,1.8,1.8066,Acceptable IRR,Good TVPI,Strong realized DPI,False,,,,gtcr-fund-ix-l-p,private_equity,4,0.1377,1.8,1.8066,119085738.0,,2024-09-30,,,,,,,,,,,,,,,,
Good Candidate,Excellent IRR | Excellent TVPI | Strong realized DPI | No institutional match,Medium,0,,"GTCR Fund VII-A, L.P.",GTCR,2001.0,25.0,buyout,north_america,0.830504,2.79325,2.7933,Excellent IRR,Excellent TVPI,Strong realized DPI,False,,,,gtcr-fund-vii-a-l-p,private_equity,3,0.830504,2.79325,2.7933,165099644.0,,2024-12-31,,,,,,,,,,,,,,,,
Good Candidate,Good IRR | Good TVPI | Strong realized DPI | No institutional match,Medium,0,,"GTCR Fund VIII, L.P.",GTCR,2003.0,23.0,buyout,north_america,0.22287,1.7498,1.7498,Good IRR,Good TVPI,Strong realized DPI,False,,,,gtcr-fund-viii-l-p,private_equity,3,0.22287,1.7498,1.7498,128117891.0,,2024-12-31,,,,,,,,,,,,,,,,
Good Candidate,Good IRR | Good TVPI | Strong realized DPI | No institutional match,Medium,0,,GTCR Fund X,GTCR,2011.0,15.0,buyout,north_america,0.214,2.17534,2.17534,Good IRR,Good TVPI,Strong realized DPI,False,,,,gtcr-fund-x-l-p,private_equity,6,0.214,2.17534,2.03507,183518606.0,,2025-09-30,,,,,,,,,,,,,,,,
Good Candidate,Good IRR | Good TVPI | Strong realized DPI | No institutional match,Medium,0,,GTCR Fund X PE,GTCR,2011.0,15.0,buyout,north_america,0.213,2.02076,1.93035,Good IRR,Good TVPI,Strong realized DPI,False,,,,gtcr-fund-x-pe,private_equity,1,0.213,2.02076,1.93035,,,2021-06-30,,,,,,,,,,,,,,,,
Good Candidate,Excellent IRR | Excellent TVPI | Strong realized DPI | No institutional match,Medium,0,,GTCR Fund XI,GTCR,2013.0,13.0,buyout,north_america,0.303,3.23386,2.61128,Excellent IRR,Excellent TVPI,Strong realized DPI,False,,,,gtcr-fund-xi-l-p,private_equity,7,0.303,3.01125,2.45073,2204342004.0,,2025-09-30,,,,,,,,,,,,,,,,
Good Candidate,Excellent IRR | Excellent TVPI | Strong realized DPI | No institutional match,Medium,0,,GTCR Fund XI PE,GTCR,2013.0,13.0,buyout,north_america,0.442,4.16513,1.77668,Excellent IRR,Excellent TVPI,Strong realized DPI,False,,,,gtcr-fund-xi-pe,private_equity,1,0.442,4.16513,1.77668,,,2021-06-30,,,,,,,,,,,,,,,,
Good Candidate,Good IRR | Good TVPI | Acceptable realized DPI | Institutional match found,High,0,,GTCR Fund XII,GTCR,2017.0,9.0,buyout,north_america,0.191,1.84562,1.12943,Good IRR,Good TVPI,Acceptable realized DPI,True,GTCR Fund XII-AB,7.10000000000001,0.904,gtcr-fund-xii-l-p,private_equity,4,0.191,1.84562,1.12943,3307233624.0,,2025-09-30,gtcr-fund-xii-l-p,GTCR Fund XII,GTCR,2017.0,buyout,north_america,0.191,1.84562,1.12943,fund_000197,2017.0,8.0,2025-Q3,1.85,19.1,0.2100000000000002
Needs More Data,Excellent IRR | Acceptable TVPI | Very weak realization | Institutional match found | Red flags: Old vintage with weak DPI,High,1,Old vintage with weak DPI,GTCR Fund XII PE,GTCR,2017.0,9.0,buyout,north_america,0.364,1.62876,0.293838,Excellent IRR,Acceptable TVPI,Very weak realization,True,GTCR Fund XII-AB,7.10000000000001,0.88,gtcr-fund-xii-pe,private_equity,1,0.364,1.62876,0.293838,,,2021-06-30,gtcr-fund-xii-pe,GTCR Fund XII PE,GTCR,2017.0,buyout,north_america,0.364,1.62876,0.293838,fund_000197,2017.0,8.0,2025-Q3,1.85,19.1,0.2100000000000002
Watchlist,Good IRR | Good TVPI | Low realization | Institutional match found,High,0,,GTCR Fund XII-AB,GTCR,2017.0,9.0,buyout,north_america,0.197,1.84,0.756473,Good IRR,Good TVPI,Low realization,True,GTCR Fund XII-AB,7.10000000000001,1.08,gtcr-fund-xii-ab,private_equity,4,0.197,1.84,0.756473,3307233624.0,,2025-06-30,gtcr-fund-xii-ab,GTCR Fund XII-AB,GTCR,2017.0,buyout,north_america,0.197,1.84,0.756473,fund_000197,2017.0,8.0,2025-Q3,1.85,19.1,0.2100000000000002
Too Early,Good IRR | Good TVPI | Good early DPI | No institutional match,Medium,0,,GTCR Fund XII/A LP and GTCR Fund XII/B LP,GTCR,,0.0,buyout,north_america,0.1913,1.93128,1.19434,Good IRR,Good TVPI,Good early DPI,False,,,,gtcr-fund-xii-a-lp-and-gtcr-fund-xii-b-lp,private_equity,1,0.1913,1.93128,1.19434,,,2025-12-31,,,,,,,,,,,,,,,,
Needs More Data,Missing IRR | Acceptable TVPI | Low but acceptable DPI | Institutional match found,High,0,,GTCR Fund XIII,GTCR,2021.0,5.0,buyout,north_america,,1.49,0.44,Missing IRR,Acceptable TVPI,Low but acceptable DPI,True,GTCR Fund XIII-AB,12.7,0.857,gtcr-fund-xiii,private_equity,5,,1.49,0.44,4059373383.0,,2025-12-31,gtcr-fund-xiii,GTCR Fund XIII,GTCR,2021.0,buyout,north_america,,1.49,0.44,fund_000242,2020.0,3.0,2025-Q3,1.49,19.1,0.1699999999999999
Watchlist,Good IRR | Acceptable TVPI | Low but acceptable DPI | Institutional match found,High,0,,GTCR Fund XIII-AB,GTCR,2020.0,6.0,buyout,north_america,0.192,1.44,0.290266,Good IRR,Acceptable TVPI,Low but acceptable DPI,True,GTCR Fund XIII-AB,12.7,1.08,gtcr-fund-xiii-ab,private_equity,2,0.192,1.44,0.290266,4059373383.0,,2025-06-30,gtcr-fund-xiii-ab,GTCR Fund XIII-AB,GTCR,2020.0,buyout,north_america,0.192,1.44,0.290266,fund_000242,2020.0,3.0,2025-Q3,1.49,19.1,0.1699999999999999
Too Early,Good IRR | Acceptable TVPI | Good early DPI | No institutional match,Medium,0,,GTCR Fund XIII/A LP and GTCR Fund XIII/B LP,GTCR,,0.0,buyout,north_america,0.1907,1.49014,0.374752,Good IRR,Acceptable TVPI,Good early DPI,False,,,,gtcr-fund-xiii-a-lp-and-gtcr-fund-xiii-b-lp,private_equity,1,0.1907,1.49014,0.374752,,,2025-12-31,,,,,,,,,,,,,,,,
Needs More Data,Missing IRR | Acceptable TVPI | Too early for DPI | No institutional match,Medium,0,,GTCR Fund XIV,GTCR,2022.0,4.0,buyout,north_america,,1.42,0.2,Missing IRR,Acceptable TVPI,Too early for DPI,False,,,,gtcr-fund-xiv,private_equity,8,,1.42,0.2,7072669906.0,,2025-09-30,,,,,,,,,,,,,,,,
Too Early,Missing IRR | Acceptable TVPI | Too early for DPI | Institutional match found,High,0,,Gtcr Fund XIV C LP,GTCR,,0.0,buyout,north_america,,1.38,0.18,Missing IRR,Acceptable TVPI,Too early for DPI,True,GTCR Fund XIII-AB,12.7,0.727,fund-gtcr-fund-xiv-c-lp,private_equity,1,,1.38,0.18,4448265000.0,,2025-12-31,fund-gtcr-fund-xiv-c-lp,Gtcr Fund XIV C LP,GTCR,,buyout,north_america,,1.38,0.18,fund_000242,2020.0,3.0,2025-Q3,1.49,19.1,0.1699999999999999
Weak / Avoid,Missing IRR | Weak TVPI | Too early for DPI | Institutional match found,High,0,,GTCR Strategic Growth Fund,GTCR,2022.0,4.0,growth_equity,north_america,,1.19,0.0244565,Missing IRR,Weak TVPI,Too early for DPI,True,GTCR Strategic Growth Fund,2.0,1.08,gtcr-strategic-growth-fund,private_equity,2,,1.19,0.0244565,,,2025-06-30,gtcr-strategic-growth-fund,GTCR Strategic Growth Fund,GTCR,2022.0,growth_equity,north_america,,1.19,0.0244565,fund_000251,2022.0,1.0,2025-Q3,1.14,8.9,0.0
Weak / Avoid,Missing IRR | Weak TVPI | Too early for DPI | Institutional match found,High,0,,GTCR Strategic Growth Fund I LP,GTCR,2022.0,4.0,growth_equity,north_america,,1.13,0.03,Missing IRR,Weak TVPI,Too early for DPI,True,GTCR Strategic Growth Fund,2.0,1.035,gtcr-strategic-growth-fund-i-lp,private_equity,2,,1.13,0.03,1396359272.0,,2025-06-30,gtcr-strategic-growth-fund-i-lp,GTCR Strategic Growth Fund I LP,GTCR,2022.0,growth_equity,north_america,,1.13,0.03,fund_000251,2022.0,1.0,2025-Q3,1.14,8.9,0.0
Too Early,Acceptable IRR | Weak TVPI | Too early for DPI | No institutional match,Medium,0,,GTCR Strategic Growth Fund I/A LP and GTCR Strategic Growth Fund I/B LP,GTCR,,0.0,growth_equity,north_america,0.0893,1.14208,0.0216795,Acceptable IRR,Weak TVPI,Too early for DPI,False,,,,gtcr-strategic-growth-fund-i-a-lp-and-gtcr-strateg,private_equity,1,0.0893,1.14208,0.0216795,,,2025-12-31,,,,,,,,,,,,,,,,
Too Early,Missing IRR | Weak TVPI | Missing DPI | Institutional match found,High,0,,GTCR Strategic Growth II,GTCR,2024.0,2.0,growth_equity,north_america,,0.0,,Missing IRR,Weak TVPI,Missing DPI,True,GTCR Strategic Growth Fund,2.0,0.955,gtcr-strategic-growth-ii,private_equity,1,,0.0,,,,2025-03-31,gtcr-strategic-growth-ii,GTCR Strategic Growth II,GTCR,2024.0,growth_equity,north_america,,0.0,,fund_000251,2022.0,1.0,2025-Q3,1.14,8.9,0.0
Good Candidate,Excellent IRR | Excellent TVPI | Strong realized DPI | No institutional match,Medium,0,,GTCR XI,GTCR,2013.0,13.0,growth_equity,north_america,0.302,3.04,2.84315,Excellent IRR,Excellent TVPI,Strong realized DPI,False,,,,gtcr-xi,private_equity,1,0.302,3.04,2.84315,,,2025-12-31,,,,,,,,,,,,,,,,
Watchlist,Good IRR | Acceptable TVPI | Low but acceptable DPI | Institutional match found,High,0,,GTCR XIII,GTCR,2020.0,6.0,growth_equity,north_america,0.191,1.49013,0.374746,Good IRR,Acceptable TVPI,Low but acceptable DPI,True,GTCR Fund XIII-AB,12.7,0.937,gtcr-xiii,private_equity,1,0.191,1.49013,0.374746,,,2025-09-30,gtcr-xiii,GTCR XIII,GTCR,2020.0,growth_equity,north_america,0.191,1.49013,0.374746,fund_000242,2020.0,3.0,2025-Q3,1.49,19.1,0.1699999999999999
Needs More Data,Missing IRR | Acceptable TVPI | Too early for DPI | No institutional match,Medium,0,,GTCR XIV,GTCR,2022.0,4.0,growth_equity,north_america,,1.46769,0.203275,Missing IRR,Acceptable TVPI,Too early for DPI,False,,,,gtcr-xiv,private_equity,1,,1.46769,0.203275,,,2025-09-30,,,,,,,,,,,,,,,,
Weak / Avoid,Missing IRR | Weak TVPI | Weak DPI for age | No institutional match,Medium,0,,H Venture Partners Brand II,,2020.0,6.0,venture_capital,global,,1.15,0.0,Missing IRR,Weak TVPI,Weak DPI for age,False,,,,h-venture-partners-brand-ii,private_equity,1,,1.15,0.0,,,2024-06-30,,,,,,,,,,,,,,,,
Watchlist,Acceptable IRR | Good TVPI | Developing DPI | No institutional match,Medium,0,,H.I.G Bayside Loan Opportunity Fund V,H.I.G. Capital,2019.0,7.0,growth_equity,latin_america,0.144,1.86,0.82,Acceptable IRR,Good TVPI,Developing DPI,False,,,,h-i-g-bayside-loan-opportunity-fund-v,private_equity,1,0.144,1.86,0.82,,,2025-09-30,,,,,,,,,,,,,,,,
Watchlist,Excellent IRR | Acceptable TVPI | Low realization | No institutional match,Medium,0,,H.I.G Middle Market LBO Fund II PE,H.I.G. Capital,2014.0,12.0,buyout,north_america,0.262,1.69106,0.859383,Excellent IRR,Acceptable TVPI,Low realization,False,,,,h-i-g-middle-market-lbo-fund-ii-pe,private_equity,1,0.262,1.69106,0.859383,1526469658.0,,2021-06-30,,,,,,,,,,,,,,,,
Too Early,Acceptable IRR | Acceptable TVPI | Good early DPI | No institutional match,Medium,0,,"H.I.G Whitehorse Trinity, L.P.",H.I.G. Capital,,0.0,growth_equity,latin_america,0.0827,1.48121,0.763991,Acceptable IRR,Acceptable TVPI,Good early DPI,False,,,,h-i-g-whitehorse-trinity-l-p,private_equity,1,0.0827,1.48121,0.763991,551036241.0,,2025-12-31,,,,,,,,,,,,,,,,
Weak / Avoid,Weak IRR | Acceptable TVPI | Very weak realization | No institutional match | Red flags: Old vintage with weak DPI,Medium,1,Old vintage with weak DPI,H.I.G. Advantage Buyout Fund,H.I.G. Capital,2017.0,9.0,growth_equity,latin_america,0.079,1.3,0.263,Weak IRR,Acceptable TVPI,Very weak realization,False,,,,h-i-g-advantage-buyout-fund,private_equity,1,0.079,1.3,0.263,4317060055.0,,2025-09-30,,,,,,,,,,,,,,,,
